Çağrı No;Açılış Tarihi;Açan Birim;Birim/Şube;Servis;Ekran;Durum;2. Seviye Kullanıcı Destek Çözen/Yönlendiren;Atanan TM;Çözüm Kodu;Çözüm Tarihi
140906513;26.09.2025 09:20;Ataşehir Şubesi;Şube;CRM Servisi;Findeks Üyelik Başvurusu Yap;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 11:31
140906916;26.09.2025 09:21;Merkezefendi İstanbul Şubesi;Şube;Doküman Yönetimi Servisi;Tebligat Sorgula;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;26.09.2025 10:41
140907474;26.09.2025 09:25;Müşteri Araştırmaları Müdürlüğü;Birim;Yasal Raporlama Servisi;Yasal Rapor Dosya Çık;Aktarıldı;İbrahim;İZR.Yasal Raporlama;;
140908799;26.09.2025 09:24;Kozyatağı Kurumsal Şubesi;Birim;Para Transferleri Servisi;Toplu Dekont Yazdır/Gönder;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Uygulama Geliştirme/Yazılım Kaynaklı;26.09.2025 15:43
140909251;26.09.2025 09:29;Çerkezköy Şubesi;Şube;Uygulama Altyapı Servisi;Dış Ticaret Talimat Girişi;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;29.09.2025 16:23
140909253;26.09.2025 09:29;Eryaman/Ankara Şubesi;Şube;Ticari Krediler Servisi;Ticari Kredi Kullandırım Talep Giriş;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 09:41
140912798;26.09.2025 09:32;Ticari Krediler Müdürlüğü 4;Birim;Kredi Tahsis Yönetimi Servisi;Hazır Limit Kısa Başvuru;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 10:03
140914846;26.09.2025 09:36;Levent Ticari Şubesi;Şube;Ticari Krediler Servisi;Teminat Mektubu Vade Uzatımı;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Program/Yazılım Güncellemesi ile Çözüldü;26.09.2025 14:16
140915313;26.09.2025 09:38;Hevsel Diyarbakır Şubesi;Şube;Para Transferleri Servisi;Geçmişe Dönük Ekstre ve Dekont Talep Girişi;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Yaygınlaştırma Kaynaklı;26.09.2025 15:58
140915317;26.09.2025 09:39;Altıeylül Balıkesir Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Plato Kullanılabilir Limit Görüntüle;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 10:00
